No.,Herb Name,Number of File
522,พญาปล้องทอง,62
523,พญามือเหล็ก,18
524,พญามูลเหล็ก,5
525,พญายา,168
526,พญารากดำ,14
527,พญาไร้ใบ,28
528,พญาสัตตบรรณ,1
529,พนมสวรรค์,57
53,กัญชาเทศ,12
530,พนอง,1
531,พยอม,6
532,พรมคต,0
533,พรมมิ,66
534,พระจันทร์ครึ่งซีก,13
535,พระเจ้าห้าพระองค์,2
536,พระอินทร์โปรย,4
537,พริกขี้หนู,152
538,พริกชี้ฟ้า,47
539,พริกไทย,1019
54,กัดลิ้น,40
540,พริกป่า,11
541,พริกฝรั่ง,1
542,พริกหยวก,32
543,พริกหาง,3
544,พลอง,24
545,พลับพลา,30
546,พลับพลึง,154
547,พลับพลึงดอกแดง,11
548,พลับพลึงตีนเป็ด,2
549,พลู,281
55,กันเกรา,46
550,พลูคาว,153
551,พังพวย,7
552,พิกุล,687
553,พิมเสนต้น,105
554,พิลังกาสา,43
555,พิษนาศน์,20
556,พุงแก,4
557,พุงดอ,7
558,พุดซ้อน,16
559,พุดซา,4
56,กัลปพฤกษ์,12
560,พุดตะแคง,1
561,พุดตาน,87
562,พุดฝรั่ง,2
563,พุดสวน,4
564,พุทธชาด,92
565,พุทธรักษา,176
566,เพกา,118
567,เพชรสังฆาต,172
568,แพงพวยฝรั่ง,36
569,โพธิ์,261
57,ก้างปลาขาว,5
570,โพธิ์ทะเล,10
571,โพธิสัตว์,42
572,โพบาย,0
573,ไพล,845
574,ไพลดำ,3
575,ฟัก,281
576,ฟักข้าว,175
577,ฟักทอง,510
578,ฟักทองข้าวเจ้า,0
579,ฟันกระต่าย,0
58,ก้างปลาเครือ,3
580,ฟ้าทะลายโจร,501
581,แฟง,66
582,แฟบน้ำ,1
583,ไฟเดือนห้า,14
584,มดยอบ,4
585,มวกขาว,19
586,มวกแดง,16
587,มหาสดำน้อย,0
588,มหาหิงค์,36
589,มะกรูด,970
59,ก้างปลาแดง,116
590,มะกล่ำตาช้าง,14
591,มะกล่ำตาหนู,14
592,มะกล่ำเผือก,2
593,มะกอก,182
594,มะกอกฝรั่ง,10
595,มะกา,557
596,มะกาเครือ,6
597,มะเกลือ,53
598,มะขวิด,19
599,มะขาม,799
6,กระเจี๊ยบมอญ,27
60,กานพลู,329
600,มะขามแขก,83
601,มะขามเครือ,2
602,มะขามเทศ,10
603,มะขามป้อม,511
604,มะเขือขื่น,32
605,มะเขือเทศ,864
606,มะเขือเปราะ,40
607,มะเขือพวง,96
608,มะเขือยาว,58
609,มะคังแดง,3
61,กาฝากมะม่วง,19
610,มะค่าแต้,7
611,มะค่าโมง,9
612,มะคำไก่,33
613,มะคำดีควาย,85
614,มะเค็ด,2
615,มะซาง,9
616,มะดัน,94
617,มะดูก,85
618,มะเดื่อดิน,13
619,มะเดื่อปล้อง,15
62,กาแฟใบใหญ่,75
620,มะเดือยขี้หนอน,0
621,มะเดื่อหอม,11
622,มะเดื่ออุทุมพร,21
623,มะตาด,32
624,มะตูม,386
625,มะนาว,1621
626,มะนาวควาย,4
627,มะนาวเทศ,2
628,มะนาวผี,3
629,มะนาวฝรั่ง,0
63,ก้ามปู,30
630,มะปราง,154
631,มะปริง,2
632,มะผู้มะเมีย,2
633,มะพร้าว,1150
634,น้ำมะพร้าว,233
635,มะพร้าวเต่า,1
636,มะพร้าวหัวลิง,62
637,มะพลับ,11
638,มะพูด,5
639,มะเฟือง,233
64,ก้ามปูหลุด,13
640,มะแฟน,9
641,มะไฟ,70
642,มะม่วง,614
643,มะม่วงคัน,0
644,มะม่วงป่า,4
645,มะม่วงหิมพานต์,114
646,มะเม่าขน,0
647,มะยม,164
648,มะเยา,6
649,มะระขี้นก,338
65,การบูน,5
650,มะรุม,271
651,มะละกอ,786
652,มะลิ,259
653,มะลิวัลย์,13
654,มะแว้งเครือ,92
655,มะแว้งต้น,86
656,มะสัง,1
657,มะหวด,15
658,มะหาด,57
659,มะเหลี่ยมหิน,3
66,การเวก,17
660,มะอึก,20
661,มะฮอกกานีใบเล็ก,0
662,มังคุด,236
663,มันแกว,49
664,มันเทศ,156
665,มันฝรั่ง,249
666,มันสำปะหลัง,48
667,มั่วอึ๊ง,0
668,ม้ากระทืบโรง,36
669,ม้าแม่ก่ำ,5
67,กาหลง,71
670,มือพระนารายณ์,2
671,แมงกะแซง,0
672,แมงลัก,197
673,แมงลักคา,2
674,โมกมัน,23
675,โมกหลวง,156
676,ไม้เท้ายายม่อม,1
677,ไมยราบ,73
678,ไมยราบยักษ์,2
679,ลูกยอ,159
68,กำจัดต้น,24
680,ยางน่อง,22
681,ยางน่องเครือ,3
682,ย่านาง,368
683,ย่านางแดง,13
684,ยาสูบ,220
685,ยี่โถ,49
686,ยี่หร่า,110
687,ยุงปัดแม่ม่าย,2
688,ยูคาลิปต์,0
689,เยนเชี่ยน,0
69,กำจาย,21
690,โยทะกา,5
691,รกฟ้า,11
692,รงทอง,75
693,ระกำ,42
694,ระงับ,1107
695,ระงับพิษ,31
696,ระย่อม,152
697,ระย่อมหลวง,1
698,ระหัน,2
699,รักทะเล,5
7,กระชาย,599
70,กำแพงเจ็ดชั้น,41
700,รักหลวง,4
701,รากสามสิบ,17
702,รางจืด,527
703,รางแดง,22
704,ราชดัด,49
705,ราตรี,71
706,รำเพย,18
707,เร่ว,100
708,ฤาษีผสมแล้ว,1
709,ละมุดไทย,4
71,กำยานไทย,2
710,ละมุดฝรั่ง,1
711,ละมุดสีดา,0
712,ละหุ่ง,60
713,ลักกะจั่น,106
714,ลั่นทมขาว,104
715,ลั่นทมแดง,105
716,ลางสาด,34
717,ลาน,525
718,ลำเจียก,45
719,ลำดวน,176
72,กำยานสุมาตรา,0
720,ลำพันหางหมู,4
721,ลำพู,16
722,ลำแพน,2
723,ลำโพงกาสลัก,84
724,ลำโพงขาว,92
725,ลำโพงฝรั่ง,0
726,ลำไย,165
727,ลิ้นกวาง,1
728,ลิ้นจี่,86
729,ลิ้นมังกร,57
73,กำลังวัวเถลิง,10
730,ลิ้นเสือ,8
731,ลูกซัด,9
732,ลูกใต้ใบ,199
733,เล็บครุฑใบกระทง,0
734,เล็บมือนาง,44
735,เล็บเหยี่ยว,5
736,เลี่ยน,86
737,เลียบ,55
738,โลดทะนง,22
739,โล่ติ๊น,8
74,กุ่ม,41
740,ว่านกาบหอย,63
741,ว่านกีบแรด,41
742,ว่านไก่น้อย,1
743,ว่านชักมดลูก,59
744,ว่านธรณีสาร,111
745,ว่านนกคุ่ม,2
746,ว่านนางคำ,15
747,ว่านน้ำ,82
748,ว่านพระฉิม,6
749,ว่านพร้าว,3
75,กุ่มน้ำ,20
750,ว่านเพชรหึง,2
751,ว่านมหากาฬ,139
752,ว่านมหาเมฆ,7
753,ว่านร่อนทอง,27
754,ว่านสากเหล็ก,15
755,ว่านสิงหโมรา,1
756,ว่านหมื่นปี,4
757,ว่านหางจระเข้,358
758,ว่านหางช้าง,20
759,วานิลา,5
76,กุ่มบก,28
760,แววมยุรา,2
761,แวววิเชียร,0
762,สนทราย,2
763,สนทะเล,7
764,สนแผง,5
765,สนหมอก,0
766,สนหางสิงห์,5
767,สนุ่น,37
768,สบู่ขาว,10
769,สบู่แดง,27
77,กุยช่าย,87
770,สบู่เลือด,32
771,ส้มกบ,16
772,ส้มกุ้ง,22
773,ส้มกุ้งใหญ่,1
774,ส้มเกลี้ยง,10
775,ส้มแก้ว,0
776,ส้มเขียวหวาน,88
777,ส้มแขก,23
778,ส้มเช้า,17
779,ส้มป่อย,184
78,กุหลาบ,239
780,ส้มมือ,5
781,ส้มสันดาน,2
782,ส้มเสี้ยว,77
783,สมอดีงู,22
784,สมอทะเล,18
785,สมอเทศ,138
786,สมอไทย,338
787,สมอพิเภก,254
788,สมอร่อง,2
789,ส้มโอ,219
79,กุหลาบมอญ,98
790,สมุลแว้ง,51
791,สร้อยอินทนิล,4
792,สลอด,139
793,สลอดน้ำ,10
794,สละ,66
795,สลัดได,41
796,สลัดไดบ้าน,2
797,สลิด,8
798,สวาด,11
799,สองฤดู,8
8,กระชายดำ,108
80,เก็กฮวย,45
800,สะแก,51
801,สะแกแสง,8
802,สะค้าน,118
803,สะเดา,513
804,สะตอ,76
805,สะตือ,4
